x,y
7.933670565,-0.111116416
7.340747889,-0.097431064
6.769246046,-0.087216539
6.246878139,-0.080724377
5.772962611,-0.077250524
5.345984285,-0.076063221
4.964427979,-0.076430708
4.626778515,-0.077621226
4.331520713,-0.078903018
4.078051718,-0.079553432
3.896970027,-0.079169097
4.057883757,-0.080006283
4.353371034,-0.081862454
4.743187026,-0.084443016
5.146379448,-0.087450797
5.528506521,-0.091156189
5.916342421,-0.095097838
6.314983721,-0.097825031
6.647118158,-0.098715879
6.982344543,-0.098733108
7.331038735,-0.098082188
7.695442042,-0.096847922
8.076417120,-0.094922041
8.472915374,-0.092323615
8.883509826,-0.089349598
9.299582654,-0.086341735
9.658645679,-0.083697664
10.021209270,-0.080891849
10.390767810,-0.078060186
10.763293038,-0.075420402
11.135080017,-0.073173203
11.507414215,-0.071333426
11.882516438,-0.069781287
12.258257413,-0.068490705
12.632248689,-0.067447094
13.009952387,-0.066634055
13.456150337,-0.066033578
13.905528987,-0.065819249
14.352004015,-0.065903424
14.797084747,-0.066217706
15.240172927,-0.067109171
15.680939508,-0.068451434
16.121576125,-0.069384606
16.564474530,-0.069217318
17.011106760,-0.069339861
17.460027894,-0.069386345
17.908740821,-0.065718982
18.355268481,-0.054860218
18.802846453,-0.037886262
19.250746540,-0.015509495
19.690338122,0.016361533
20.113095578,0.062031469
20.519235698,0.122706678
20.911549836,0.196408977
21.286092351,0.282188643
21.647150529,0.382505741
22.066419556,0.525174840
22.458857540,0.690855925
22.820251137,0.880017078
23.153425360,1.097492629
23.455591712,1.337102368
23.723327315,1.584332360
23.952966135,1.833639936
24.148850239,2.089050389
24.320267187,2.351486672
24.469679842,2.623190892
24.596141070,2.901438822
24.706461438,3.189835857
24.826672873,3.580990437
24.911487312,3.986318249
24.957860547,4.404297543
24.964470287,4.827398571
24.929943624,5.251705216
24.858151799,5.668395019
24.753615547,6.066842151
24.611598052,6.454028591
24.429636305,6.835674135
24.209937072,7.196252425
24.023771277,7.446730124
23.819151462,7.679713865
23.577919692,7.907852961
23.293504977,8.135630118
22.971719016,8.357537813
22.619069668,8.559952242
22.233560968,8.738419846
21.819702871,8.895631241
21.394483807,9.029103021
20.969304997,9.136308710
20.532861912,9.220042437
20.077132595,9.284739200
19.688049952,9.323854475
19.289258917,9.350710443
18.876310898,9.370058049
18.453685187,9.385095470
18.020148663,9.395297103
17.574626570,9.399821873
17.122362906,9.401295328
16.676578476,9.402461313
16.304416428,9.403573724
15.938478171,9.403940442
15.570816821,9.403745923
15.201403577,9.403278543
14.830488890,9.402797778
14.458682670,9.402265963
14.085839092,9.401527885
13.710935498,9.400645004
13.332862354,9.399703340
12.950637041,9.398772482
12.564474623,9.397770484
12.174963322,9.396655279
11.781749142,9.395563627
11.384372531,9.394651025
10.982446925,9.394047558
10.576266975,9.393650970
10.166065385,9.393382933
9.751351234,9.393413841
9.331551042,9.393941838
8.905988101,9.395179468
8.473220478,9.397428357
8.033643456,9.400563417
7.589675299,9.404078356
7.143931977,9.407429786
6.698669750,9.410122979
6.252823612,9.412137071
5.805039382,9.413767423
5.357086169,9.415052018
4.911076866,9.415997005
4.468959319,9.416589244
4.030990448,9.416663294
3.596008435,9.416225982
3.163571125,9.415554371
2.733330727,9.414953141
2.305016905,9.414698590
1.879016565,9.414790632
1.455493560,9.415064242
1.033801798,9.415517855
0.613209327,9.416169784
0.193050697,9.417049703
-0.226684721,9.418274164
-0.645599536,9.419826165
-1.063671846,9.421510387
-1.480926201,9.423112650
-1.897432045,9.424408876
-2.313615391,9.425122809
-2.729437386,9.425386581
-3.144184377,9.425664083
-3.557078295,9.426448066
-3.967560158,9.428080468
-4.376985322,9.429594159
-4.785696017,9.430778940
-5.191426554,9.433251871
-5.591645397,9.438816586
-5.984316407,9.448954903
-6.371850927,9.462237571
-6.755479975,9.477770716
-7.131179041,9.497938047
-7.494566082,9.525506741
-7.848537793,9.564101612
-8.251050419,9.623499828
-8.639711906,9.696595965
-9.005628319,9.783263909
-9.355228170,9.887653598
-9.755880436,10.039687603
-10.124538071,10.219587066
-10.461478790,10.429511776
-10.770941626,10.674307377
-11.049321134,10.948279037
-11.294307003,11.239948566
-11.504379171,11.548625515
-11.681161772,11.872247011
-11.827641988,12.197167910
-11.944907364,12.516890689
-12.032195344,12.836926656
-12.089473629,13.162571115
-12.116441916,13.498608340
-12.113543186,13.839541240
-12.082082232,14.173903823
-12.023132324,14.496671049
-11.935511067,14.811964373
-11.816779533,15.123200315
-11.664500073,15.434009592
-11.481486378,15.740064372
-11.273265217,16.032137090
-11.038933731,16.309024882
-10.781248710,16.569988662
-10.511721080,16.806639004
-10.237068990,17.015826661
-9.950856019,17.199710054
-9.643846405,17.357853269
-9.311303702,17.488963033
-8.957564501,17.594686447
-8.587563411,17.678612718
-8.198839930,17.739328069
-7.796148076,17.779794879
-7.395432218,17.810282537
-7.001979669,17.833031399
-6.612587424,17.847633790
-6.230288484,17.860282798
-5.859106489,17.873289669
-5.494262445,17.885104773
-5.125766618,17.896146309
-4.752774456,17.906500589
-4.373835573,17.916206939
-3.978088526,17.925827478
-3.561127191,17.935654285
-3.126529443,17.945422275
-2.685614269,17.954666877
-2.325029417,17.961845513
-1.964725334,17.968693599
-1.595745462,17.975077858
-1.218468382,17.980655025
-0.831897054,17.985359580
-0.436239235,17.989337989
-0.034176330,17.992596575
0.371616746,17.995105381
0.780990689,17.996684323
1.194915060,17.997421387
1.612594704,17.997736048
2.033108334,17.998022954
2.456290296,17.998146629
2.882524932,17.998032038
3.311811457,17.998176057
3.744094446,17.999118149
4.179266497,18.001166532
4.617393118,18.004005570
5.058482635,18.007125712
5.494865191,18.010011215
5.861009247,18.012316478
6.221034353,18.014632080
6.583162219,18.016826175
6.948134072,18.018678044
7.316374388,18.019974120
7.687449557,18.020607220
8.061103373,18.020704242
8.438059169,18.020445949
8.819150848,18.020016155
9.205339259,18.019568535
9.598509151,18.018985822
9.998098259,18.018175506
10.400945208,18.017332968
10.803636974,18.016684965
11.203278797,18.016447956
11.601711659,18.016719430
12.000675893,18.017370702
12.397107185,18.018237221
12.787641222,18.019153284
13.176772811,18.019982073
13.628326490,18.020833901
14.075449808,18.021674710
14.514992133,18.022520387
14.951548227,18.023369193
15.384364387,18.024018951
15.812132649,18.024557416
16.238757516,18.025466071
16.668658237,18.027078103
17.105159571,18.028146630
17.545330040,18.029096868
17.983090929,18.033067629
18.412963627,18.043042365
18.837417617,18.058048082
19.257238746,18.077495174
19.664124220,18.105011270
20.049504181,18.144340246
20.411760887,18.195938727
20.754493711,18.258341898
21.078113973,18.332154795
21.390050843,18.421131925
21.752550456,18.551391700
22.090445181,18.705153616
22.401418031,18.881862822
22.687897245,19.083596183
22.947913355,19.307780281
23.181042325,19.549052801
23.387098245,19.808221105
23.566281771,20.082707861
23.718901388,20.361729671
23.844260690,20.640074392
23.943431295,20.922239943
24.019487430,21.213034011
24.073442407,21.517783428
24.104645571,21.830469437
24.112301144,22.149501027
24.083759661,22.572149967
24.005216720,22.995794036
23.872565311,23.415417939
23.692945387,23.815829259
23.475383057,24.182235137
23.218224613,24.512267025
22.997854682,24.738580299
22.758650171,24.943254865
22.493658957,25.129494212
22.201362326,25.294234849
21.883606401,25.440404783
21.544617585,25.571135802
21.179971487,25.688331753
20.797101465,25.790063974
20.419113366,25.872958927
20.056133628,25.933811671
19.699994564,25.976294209
19.345538354,26.007781564
18.994823915,26.029427787
18.643724501,26.041541365
18.278362323,26.049997093
17.895922200,26.056557111
17.496950970,26.060342694
17.082636434,26.063235659
16.736202987,26.065526764
16.384775510,26.067391784
16.016002684,26.068957580
15.625721055,26.070339650
15.209947022,26.071592073
14.771722094,26.072652594
14.319171804,26.073440636
13.867997551,26.073877770
13.485836061,26.073927346
13.104288246,26.073711368
12.718533697,26.073310895
12.332132657,26.072800827
11.948573831,26.072250482
11.568279153,26.071675826
11.189167499,26.071035555
10.810510947,26.070302512
10.431759355,26.069451244
10.052570962,26.068443542
9.674345480,26.067138490
9.297295670,26.065558041
8.919080244,26.063938350
8.537094350,26.062537495
8.149046234,26.061600187
7.755595134,26.061225504
7.358113933,26.061267895
6.955513069,26.061559977
6.546426195,26.061934503
6.129564959,26.062238681
5.704510353,26.062458473
5.272029296,26.062685052
4.832831239,26.062942862
4.387791964,26.063247811
3.944007596,26.063608107
3.555031146,26.063972376
3.166199933,26.064374244
2.773541510,26.064812535
2.379773263,26.065281355
1.987796092,26.065774759
1.600052273,26.066289706
1.214802635,26.066848291
0.829793379,26.067458342
0.446599847,26.068092791
0.067226084,26.068720829
-0.306492433,26.069312043
-0.678863792,26.069853301
-1.100444404,26.070471267
-1.519134243,26.071106476
-1.930163622,26.071650467
-2.335020866,26.071991149
-2.735181979,26.072016956
-3.130308479,26.071634537
-3.519516691,26.070909952
-3.903364200,26.070000178
-4.282574683,26.069067341
-4.657930261,26.068150177
-5.030571204,26.066248918
-5.400037405,26.063334259
-5.764414996,26.061079774
-6.121867819,26.061336096
-6.478201496,26.065846097
-6.896818447,26.075200497
-7.313129579,26.088620788
-7.712026837,26.109686666
-8.094993763,26.143571949
-8.537918540,26.203610778
-8.950282299,26.283100916
-9.322665735,26.382989724
-9.651048455,26.502573171
-9.941104214,26.643332151
-10.209173878,26.810834864
-10.462010072,27.009309136
-10.694400695,27.234258472
-10.903981839,27.477940719
-11.091028898,27.740716560
-11.254754039,28.020392045
-11.395327097,28.317164277
-11.540763370,28.728891505
-11.628313144,29.150681945
-11.651009878,29.467234159
-11.639873294,29.776865283
-11.599564132,30.081318171
-11.530009740,30.377053437
-11.431776127,30.666762265
-11.307074612,30.950602027
-11.155208519,31.232219563
-10.977767556,31.506390147
-10.780480168,31.759043267
-10.564453418,31.985793023
-10.329683028,32.189098657
-10.080815861,32.365436583
-9.824560383,32.511348522
-9.552671192,32.630699088
-9.246717061,32.730924851
-8.902514915,32.813607698
-8.521411800,32.878435194
-8.103922279,32.928902526
-7.734728484,32.959884422
-7.345184387,32.981629158
-6.935059798,32.997766709
-6.519830174,33.010611900
-6.163627429,33.018829945
-5.803705291,33.023821174
-5.435456516,33.026799510
-5.061956941,33.028923515
-4.686069016,33.031113826
-4.306644322,33.032206351
-3.921966101,33.031644031
-3.533939371,33.031370111
-3.144855031,33.033583432
-2.756294225,33.039921337
-2.363620808,33.047069406
-1.965861798,33.054029242
-1.570769271,33.066339746
-1.186760412,33.090253617
-0.813070556,33.132354695
-0.378199585,33.200662666
0.049714170,33.288227013
0.435732966,33.406169369
0.756742165,33.574315387
1.042385148,33.861689359
1.228618454,34.220508881
1.335273014,34.607571886
1.359912850,34.934836710
1.330510682,35.274956701
1.282460858,35.628589382
1.248074585,35.987796312
1.226262743,36.353179525
1.206587323,36.727252890
1.205585547,37.105073534
1.241502014,37.482800477
1.319265167,37.872864664
1.430562339,38.271206258
1.571620516,38.646510566
1.746208055,38.975894722
2.012139233,39.324410768
2.329161464,39.593739325
2.665759329,39.704115822
2.952420068,39.646298448
3.249857935,39.479889717
3.549870909,39.243680400
3.837053723,38.969404961
4.111690290,38.651032986
4.378944719,38.280486419
4.631390102,37.885891911
4.860809451,37.496764784
5.065256164,37.117525041
5.248356795,36.736267114
5.411238675,36.355113066
5.554568298,35.977741217
5.677824665,35.606252304
5.781010879,35.238482168
5.865654131,34.870983931
5.932999545,34.500599373
5.980511608,34.127762245
6.008862688,33.753352045
6.024675704,33.374958471
6.034109603,32.989801618
6.033661000,32.595434529
6.022757342,32.193854674
6.012464521,31.789709340
6.013409235,31.386164606
6.021066183,30.971887020
6.033790109,30.550696298
6.067138190,30.150962039
6.139991738,29.792347126
6.281118513,29.406925001
6.483867903,29.091358659
6.768365837,28.905077116
7.071956633,28.880522802
7.427767264,28.949665988
7.822631904,29.057615135
8.231724919,29.154968163
8.591165775,29.224534613
8.964850611,29.296819973
9.352212286,29.368921743
9.744307972,29.433803083
10.132907057,29.484738987
10.518758496,29.519402441
10.906782869,29.541795783
11.295777054,29.555856389
11.683831125,29.565445823
12.069317706,29.573965258
12.453333183,29.580583775
12.836856316,29.583264801
13.218061575,29.583378482
13.595044741,29.582679209
13.973750872,29.582791869
14.419260880,29.583952518
14.864986705,29.584927192
15.302750629,29.585519935
15.731897025,29.585648994
16.149977192,29.585130556
16.558191840,29.584070280
16.962264488,29.582874390
17.368452704,29.581861871
17.782763628,29.580353217
18.200489128,29.578533710
